county_state,hyp_total_2009,cig_total_2012,cig_daily_2012,obs_total_2006,dbt_total_2012,alc_any_2008,alc_heavy_2008,alc_binge_2008,hd_deaths_per100k_over65
"Tulare, CA",35.74,16.76,11.38,66.21,12.7,46.7,7.5,15.5,1182.8
"Tuolumne, CA",36.81,22.31,16.63,75.97,8.49,58.8,10.8,18.1,937.3
"Ventura, CA",33.7,13.12,8.87,79.0,9.13,60.0,8.7,17.8,913.3
"Yolo, CA",34.14,13.98,9.24,75.77,8.61,62.5,10.5,19.2,857.2
"Yuba, CA",38.79,21.46,15.57,73.53,10.53,54.0,9.9,17.4,1138.4
"Alamosa, CO",33.39,19.29,12.76,74.32,9.41,49.0,6.4,15.2,1027.1
"Arapahoe, CO",32.82,17.21,11.33,82.01,7.57,65.8,7.9,17.7,765.3
"Archuleta, CO",33.02,18.97,12.69,80.65,7.25,66.8,10.6,18.9,798.3
"Baca, CO",36.09,21.97,15.87,73.39,8.95,56.6,7.3,15.0,864.4
"Bent, CO",39.04,27.5,19.72,70.58,11.42,54.1,7.0,16.9,1212.3
"Chaffee, CO",33.59,21.55,14.59,81.67,6.71,66.8,10.5,18.3,622.3
"Cheyenne, CO",37.16,20.97,15.06,77.51,8.02,61.4,7.8,18.6,785.2
"Clear Creek, CO",32.94,18.78,12.51,82.21,6.61,75.3,14.0,22.6,725.9
"Conejos, CO",34.37,18.02,11.32,72.29,10.77,38.5,5.7,12.1,983.5
"Costilla, CO",35.88,20.4,12.67,67.97,12.13,47.7,6.7,15.7,825.2
"Crowley, CO",43.95,25.92,18.3,64.77,12.52,46.2,5.5,15.0,867.0
"Custer, CO",35.69,22.3,15.59,81.27,7.25,66.7,9.8,18.6,758.6
"Delta, CO",33.31,24.03,17.66,78.06,7.9,62.4,9.8,18.4,1061.6
"Denver, CO",34.99,20.39,12.6,78.24,7.57,64.8,9.9,21.5,848.2
"Dolores, CO",35.55,22.05,16.07,79.5,7.93,67.6,13.2,20.6,728.0
"Douglas, CO",27.85,11.92,7.9,87.08,5.67,72.0,7.9,15.2,617.5
"Eagle, CO",26.53,13.7,8.58,83.4,6.49,74.9,12.5,22.3,470.2
"Elbert, CO",32.66,16.73,11.52,83.83,6.49,64.3,8.2,15.4,812.9
"El Paso, CO",34.52,18.02,13.27,80.52,7.68,61.4,6.7,14.5,870.4
"Fremont, CO",37.88,29.09,22.02,75.45,8.54,58.5,7.7,16.2,941.6
"Garfield, CO",32.3,19.09,13.55,83.25,7.71,67.6,11.5,21.9,881.2
"Gilpin, CO",32.97,20.48,14.03,82.63,6.8,75.1,13.6,21.9,808.2
"Grand, CO",31.34,19.89,13.7,84.12,6.35,74.2,14.0,23.8,559.9
"Gunnison, CO",29.41,14.23,8.9,82.12,6.46,72.7,12.8,23.8,738.1
"Hinsdale, CO",32.22,14.74,9.45,83.64,5.63,75.5,16.6,28.6,825.8
"Huerfano, CO",36.69,21.06,13.95,73.4,9.51,59.6,9.1,19.4,814.4
"Jackson, CO",34.82,20.23,14.36,82.4,7.75,69.3,12.0,23.6,730.5
"Kiowa, CO",37.54,19.76,14.09,76.17,8.26,38.4,3.1,9.0,1126.3
"Kit Carson, CO",36.01,23.79,17.45,73.2,8.91,54.9,5.6,15.1,782.2
"Lake, CO",32.65,19.64,12.96,79.09,8.04,67.1,13.1,23.6,465.7
"La Plata, CO",30.8,16.91,10.97,84.96,6.23,70.6,11.7,20.7,892.2
"Larimer, CO",31.12,16.25,10.84,83.17,6.75,68.4,8.2,18.4,772.9
"Las Animas, CO",35.38,22.05,14.76,72.48,9.82,56.0,7.5,17.7,843.2
"Lincoln, CO",34.08,23.7,17.08,75.42,8.59,56.3,5.7,15.0,844.4
"Logan, CO",37.33,25.28,18.54,75.99,9.07,60.8,7.2,17.5,887.9
"Mesa, CO",33.78,21.59,16.27,79.32,7.86,61.2,9.4,17.9,1076.0
"Mineral, CO",31.21,15.62,10.35,81.92,6.03,56.1,8.1,17.7,737.4
"Moffat, CO",36.2,23.03,17.69,76.76,8.63,63.2,11.5,21.1,908.7
"Montezuma, CO",34.38,19.83,13.7,78.8,8.04,58.4,9.8,17.5,867.1
"Montrose, CO",34.52,21.8,16.0,77.33,7.79,61.6,10.1,18.6,942.2
"Morgan, CO",34.72,22.95,16.35,72.84,9.37,54.4,6.7,16.3,843.0
"Otero, CO",36.32,23.87,16.47,69.75,10.51,52.0,6.2,16.8,1240.4
"Ouray, CO",32.57,15.24,9.88,81.42,5.63,73.1,13.7,21.6,591.4
"Park, CO",32.04,20.05,13.37,83.79,6.64,71.6,12.9,19.7,668.3
"Phillips, CO",33.34,20.76,14.65,72.37,8.39,51.2,6.0,13.9,891.4
"Pitkin, CO",27.79,13.55,8.48,85.95,5.65,80.5,16.1,24.2,325.7
"Prowers, CO",37.36,21.55,15.22,69.27,10.17,53.6,7.0,16.4,790.2
"Pueblo, CO",34.35,22.98,15.77,75.27,10.06,57.5,7.3,17.0,777.7
"Rio Blanco, CO",34.12,18.34,13.16,82.35,7.57,62.0,10.3,20.0,884.3
"Rio Grande, CO",33.46,19.34,12.78,74.1,9.58,56.6,8.3,18.6,912.0
"Routt, CO",29.81,14.7,9.75,85.82,5.86,78.4,13.4,22.8,399.7
"Saguache, CO",35.9,21.47,14.12,69.29,9.89,51.9,7.6,16.4,682.3
"San Juan, CO",36.41,19.82,13.44,82.08,6.98,67.8,15.0,27.9,781.7
"San Miguel, CO",28.28,12.74,8.06,82.41,6.21,75.8,16.3,25.1,338.0
"Sedgwick, CO",36.56,22.87,16.57,72.45,8.63,52.9,6.8,15.4,1089.7
"Summit, CO",27.4,14.36,9.29,84.82,6.04,79.8,15.6,25.2,272.4
"Teller, CO",31.71,23.17,16.52,81.38,6.46,67.6,10.2,18.3,835.1
"Washington, CO",36.2,21.6,15.48,76.39,8.28,62.5,7.6,16.8,794.8
"Yuma, CO",35.51,21.13,15.21,73.42,8.56,60.3,7.4,17.8,817.0
"Fairfield, CT",33.32,14.91,9.51,78.41,8.01,67.8,8.5,18.1,891.9
"Hartford, CT",35.9,17.9,12.47,75.74,8.92,64.8,7.2,16.9,954.1
"Litchfield, CT",33.07,19.21,13.57,80.34,7.65,68.9,9.9,19.5,947.6
"Middlesex, CT",32.9,17.35,12.36,79.91,7.89,69.7,9.7,19.2,946.4
"New Haven, CT",36.22,19.12,13.39,71.5,9.2,63.7,7.5,16.8,947.0
"New London, CT",37.49,18.83,13.24,79.24,8.62,66.7,9.2,18.3,929.0
"Tolland, CT",35.46,16.22,11.64,80.28,8.56,69.5,9.3,19.0,1028.9
"Windham, CT",38.55,21.11,15.63,75.75,9.94,61.1,8.2,17.7,1076.9
"Kent, DE",40.69,24.44,18.4,70.66,11.09,53.4,6.8,16.3,1079.0
"New Castle, DE",32.66,19.85,14.16,75.23,9.18,61.9,8.7,19.8,945.4
"Sussex, DE",39.26,24.56,18.61,73.35,10.71,57.3,8.3,18.6,1045.6
"Alachua, FL",36.65,16.72,11.16,77.29,10.57,58.0,9.6,17.2,754.9
"Baker, FL",43.11,28.03,21.74,66.94,12.15,39.2,6.4,14.1,1101.1
"Bay, FL",38.17,24.22,18.55,73.31,11.09,52.5,9.4,18.4,1112.3
"Bradford, FL",42.82,26.99,20.51,63.87,12.92,38.9,7.1,14.2,1066.7
"Brevard, FL",35.45,23.43,17.17,76.63,10.12,58.8,10.8,19.9,1008.2
"Broward, FL",36.47,17.68,11.14,73.99,10.88,56.0,7.2,15.8,897.2
"Calhoun, FL",41.77,28.7,21.71,66.92,12.45,38.5,6.8,14.0,1111.9
"Charlotte, FL",37.85,24.39,18.3,79.52,9.09,61.3,10.8,19.6,675.5
"Citrus, FL",36.48,26.54,20.61,73.78,9.65,56.2,9.2,18.0,1201.9
"Clay, FL",37.78,20.45,14.83,74.88,11.09,54.9,8.6,17.0,920.4
"Collier, FL",34.32,19.07,12.58,78.25,8.62,63.1,9.4,17.9,542.8
"Columbia, FL",41.57,27.9,20.9,69.41,12.25,43.7,7.1,14.7,950.0
"DeSoto, FL",39.18,28.03,19.72,65.43,12.87,42.9,7.4,14.9,633.9
"Dixie, FL",40.54,29.22,22.27,68.26,12.47,40.1,7.4,14.7,1010.8
"Duval, FL",39.79,21.79,15.15,72.44,12.39,52.5,8.2,16.8,999.9
"Escambia, FL",38.86,23.06,17.04,72.85,11.55,49.6,8.9,15.8,1045.5
"Flagler, FL",36.42,24.14,17.9,78.44,10.61,61.1,9.3,19.2,898.3
"Franklin, FL",39.77,27.43,20.12,72.03,11.6,55.5,15.2,22.1,1101.7
"Gadsden, FL",46.22,24.04,15.82,68.08,15.31,40.4,6.5,13.0,877.9
"Gilchrist, FL",39.07,26.75,20.3,71.39,11.12,39.5,6.6,13.8,928.9
"Glades, FL",39.79,26.92,19.1,70.28,11.62,42.0,6.6,13.4,702.3
"Gulf, FL",40.04,27.71,20.49,72.65,12.0,44.5,9.1,16.8,1105.7
"Hamilton, FL",44.98,29.37,21.05,62.66,14.23,36.8,6.6,13.2,1214.7
"Hardee, FL",39.32,25.26,18.25,59.16,13.06,34.8,5.1,11.7,861.1
"Hendry, FL",37.98,23.55,15.92,62.03,13.68,40.5,5.9,14.3,1040.6
"Hernando, FL",38.86,26.26,20.14,74.64,10.96,56.1,9.5,18.0,1050.2
"Highlands, FL",38.83,24.99,18.56,72.46,11.2,49.6,7.8,15.3,777.2
"Hillsborough, FL",35.93,19.67,14.2,72.0,11.23,53.9,8.4,17.3,1004.2
"Holmes, FL",39.44,27.47,21.63,65.83,11.39,36.9,7.1,14.2,1481.7
"Indian River, FL",34.27,23.57,16.73,76.21,9.45,62.6,10.8,18.6,839.6
"Jackson, FL",42.61,25.2,18.62,69.76,12.15,38.7,6.4,13.0,1106.8
"Jefferson, FL",42.41,23.95,16.58,71.32,13.13,43.3,8.1,14.4,937.0
"Lafayette, FL",41.47,26.06,18.94,70.44,12.54,36.5,6.1,12.2,1111.6
"Lake, FL",38.64,22.83,16.98,74.81,10.48,56.5,8.4,16.4,931.3
"Lee, FL",33.92,21.11,14.94,75.98,9.18,60.8,9.6,18.1,659.8
"Leon, FL",36.25,16.16,9.99,78.23,10.96,57.4,9.1,17.2,901.5
"Levy, FL",39.17,26.24,19.4,70.42,11.23,43.0,7.2,14.3,1076.4
"Liberty, FL",41.15,27.51,19.86,70.2,12.79,32.0,5.4,12.1,1001.3
"Madison, FL",44.16,25.86,18.4,68.44,14.22,37.4,5.9,12.2,1159.3
"Manatee, FL",36.17,22.87,16.72,76.78,9.66,58.9,9.5,18.5,774.5
"Marion, FL",41.08,24.7,18.34,72.92,10.76,53.9,7.7,16.3,1229.8
"Martin, FL",32.89,20.98,15.14,81.07,8.51,64.7,10.5,18.9,734.1
"Miami-Dade, FL",34.32,16.18,8.84,64.51,12.44,50.6,5.8,15.0,947.5
"Monroe, FL",36.95,20.12,13.29,76.52,8.64,66.4,14.9,24.4,777.6
"Nassau, FL",37.7,22.85,17.11,73.12,10.74,52.4,8.5,16.1,943.3
"Okaloosa, FL",37.06,21.62,15.65,76.44,9.77,56.6,10.0,17.9,928.9
"Okeechobee, FL",37.39,28.04,20.58,64.65,11.79,44.5,7.4,15.1,1085.6
"Orange, FL",36.26,18.68,12.76,72.86,11.61,54.4,8.2,16.6,931.5
"Osceola, FL",36.62,20.46,13.96,68.84,13.11,48.3,6.6,14.9,1026.6
"Palm Beach, FL",34.45,18.25,12.46,77.45,9.2,59.3,8.2,16.6,793.2
"Pasco, FL",37.94,25.23,18.78,75.96,10.75,56.3,10.2,18.5,922.8
"Pinellas, FL",37.25,23.23,17.17,73.8,10.14,61.5,12.6,20.0,843.7
"Polk, FL",38.53,23.97,17.71,70.57,11.27,49.6,7.8,15.6,942.3
"Putnam, FL",41.7,27.17,20.29,68.04,12.64,42.1,7.1,15.1,957.6
"Santa Rosa, FL",37.33,21.89,16.02,75.48,9.24,54.6,9.0,16.1,995.2
"Sarasota, FL",33.41,23.69,17.11,79.49,8.34,65.2,11.6,19.8,620.1
"Seminole, FL",34.52,18.73,13.01,76.29,10.41,58.2,9.3,18.5,892.6
"Sumter, FL",40.24,25.71,19.1,77.47,10.29,57.6,8.7,16.8,751.8
"Suwannee, FL",39.09,27.15,20.2,70.5,12.48,38.6,6.0,12.5,1181.3
"Taylor, FL",42.27,27.6,20.86,69.0,12.82,39.7,6.7,13.1,990.1
"Union, FL",42.48,27.98,21.22,66.29,12.91,37.3,6.7,14.0,1502.2
"Volusia, FL",37.66,24.58,18.53,75.41,10.68,57.0,9.6,19.0,1093.7
"Wakulla, FL",39.03,25.38,18.17,73.29,11.09,50.3,8.8,17.0,1067.6
"Walton, FL",39.22,23.28,17.14,71.73,10.66,53.5,10.1,17.5,888.6
"Washington, FL",40.77,27.38,20.98,67.94,12.02,35.2,5.7,11.9,1577.2
"Appling, GA",43.03,25.7,19.07,64.92,12.8,29.7,4.8,11.2,1344.3
"Atkinson, GA",43.33,27.07,18.84,62.0,14.42,29.9,4.9,12.1,1362.4
"Bacon, GA",41.72,27.52,20.66,62.06,12.4,29.4,4.6,10.9,1383.1
"Baker, GA",47.07,26.14,18.63,62.96,14.7,38.3,7.0,13.4,1016.3
"Baldwin, GA",44.02,24.18,17.24,67.49,13.79,44.4,6.4,14.2,1606.1
"Banks, GA",41.81,24.62,19.01,67.17,10.65,33.1,4.5,10.2,1034.2
"Barrow, GA",39.34,23.31,17.15,69.06,11.48,46.5,5.8,14.2,996.4
"Bartow, GA",39.76,25.82,19.57,69.3,11.66,41.7,5.6,13.8,1319.3
"Ben Hill, GA",44.64,27.49,20.49,60.89,14.69,33.2,5.2,11.7,1503.0
"Berrien, GA",42.48,28.13,20.48,62.5,12.34,39.8,6.8,15.0,1276.6
"Bibb, GA",43.0,22.81,16.09,66.28,12.74,44.5,6.0,13.6,1432.2
"Bleckley, GA",41.66,25.14,18.66,64.01,12.26,32.8,4.7,11.4,1271.7
"Brantley, GA",40.27,30.17,23.34,63.14,11.69,32.8,5.6,12.2,1124.6
"Brooks, GA",44.0,26.07,18.63,65.51,14.25,39.1,5.7,12.0,1102.4
"Bryan, GA",38.48,20.05,13.86,70.9,9.71,52.1,7.7,16.7,1169.6
"Bulloch, GA",41.77,20.67,14.32,71.36,12.87,45.3,6.5,14.6,1055.7
"Burke, GA",46.48,26.73,19.35,62.22,14.55,34.0,4.5,11.5,1172.7
"Butts, GA",42.68,27.66,20.0,65.88,12.08,37.3,4.7,11.7,1110.0
"Calhoun, GA",49.4,25.77,17.24,59.47,17.08,30.3,5.0,10.6,1055.2
"Camden, GA",40.94,23.07,16.94,73.06,11.71,49.4,7.0,14.9,1095.8
"Candler, GA",44.01,24.24,17.33,62.85,13.34,39.2,6.5,14.8,1327.8
"Carroll, GA",39.97,24.49,18.53,69.99,11.9,41.8,5.9,13.4,1290.7
"Catoosa, GA",38.8,25.06,19.21,72.13,11.69,38.9,5.8,14.1,1168.4
"Charlton, GA",45.67,29.75,21.96,59.13,14.2,37.6,6.5,13.7,943.3
"Chatham, GA",40.47,21.72,14.32,70.39,11.54,55.0,8.9,17.7,1029.8
"Chattahoochee, GA",40.06,19.16,12.91,73.32,12.2,44.3,5.0,13.3,1132.1
"Chattooga, GA",41.14,29.77,22.34,61.66,13.14,31.8,4.6,11.8,1536.2
"Cherokee, GA",35.02,18.89,13.27,77.6,10.03,54.7,6.5,15.2,978.9
"Clarke, GA",42.2,17.59,11.01,72.83,12.74,53.2,8.9,16.3,1077.8
"Clay, GA",49.29,26.96,18.56,63.28,16.33,32.2,5.5,11.2,1308.1
"Clayton, GA",44.5,22.19,14.6,67.81,15.36,43.7,4.6,11.8,1109.9
"Clinch, GA",46.46,26.46,19.5,58.06,13.7,35.9,5.6,12.2,1583.2
"Cobb, GA",32.96,16.45,11.0,77.66,10.45,59.6,6.8,15.8,918.5
"Coffee, GA",43.95,26.84,19.13,61.61,13.31,33.1,5.2,12.3,1219.1
"Colquitt, GA",41.44,25.84,18.09,64.1,13.61,34.9,5.5,12.2,944.8
"Columbia, GA",34.79,17.63,12.49,78.84,9.28,55.8,6.9,15.8,779.8
"Cook, GA",43.03,27.67,19.77,61.89,13.74,35.8,5.4,12.1,1288.7
"Coweta, GA",37.56,21.51,15.71,73.72,10.81,48.3,5.7,13.8,1158.7
"Crawford, GA",43.38,25.13,18.4,65.11,12.26,41.2,6.0,13.7,1361.2
"Crisp, GA",44.91,27.35,19.61,63.09,14.06,38.4,6.0,13.5,1154.2
"Dade, GA",39.29,24.46,18.57,67.2,11.15,38.6,5.8,13.3,1390.9
"Dawson, GA",36.74,22.49,16.79,77.05,9.11,44.4,6.1,13.7,975.0
"Decatur, GA",45.69,24.86,17.66,63.37,13.78,38.0,5.9,12.7,1534.8
"DeKalb, GA",40.35,17.57,10.36,75.92,11.23,57.2,6.4,15.7,769.5
"Dodge, GA",43.21,24.59,17.89,63.43,13.19,29.8,4.6,10.2,1131.5
"Dooly, GA",47.23,27.74,19.67,60.1,15.92,32.8,5.1,11.4,1018.3
"Dougherty, GA",46.4,24.16,16.31,66.63,15.46,44.2,6.6,13.5,904.5
"Douglas, GA",39.36,22.15,15.69,74.38,13.19,46.4,5.7,13.3,1193.3
"Early, GA",47.89,26.0,18.31,61.62,14.99,38.1,6.7,13.2,1407.8
"Echols, GA",38.68,25.25,18.41,62.88,13.39,34.6,5.7,11.9,908.1
"Effingham, GA",39.28,23.37,17.24,72.9,10.39,44.5,6.4,14.9,1322.6
"Elbert, GA",43.42,26.86,19.5,63.47,12.48,37.7,5.1,12.2,1105.9
"Emanuel, GA",44.67,26.37,19.46,60.86,13.62,35.6,5.4,12.7,1700.0
"Evans, GA",43.72,25.93,18.55,60.22,13.53,38.9,6.2,14.1,1081.7
"Fannin, GA",39.35,26.28,19.66,72.4,10.24,35.8,4.7,10.7,1055.0
"Fayette, GA",34.92,15.75,10.59,78.3,8.78,57.1,6.4,14.5,850.8
"Floyd, GA",39.46,25.45,18.05,67.94,11.61,38.7,5.3,12.7,1496.8
"Forsyth, GA",32.04,15.19,10.53,80.27,9.29,59.0,7.1,16.1,840.6
"Franklin, GA",42.08,24.88,18.48,69.57,11.2,35.6,5.7,12.1,1355.9
"Fulton, GA",38.64,15.87,9.97,76.73,10.5,60.5,8.6,17.3,855.0
"Gilmer, GA",38.1,26.13,19.59,71.56,10.34,40.6,5.7,13.1,1091.5
"Glascock, GA",40.81,25.9,19.93,62.21,11.14,33.8,4.4,10.8,1208.7
"Glynn, GA",40.05,22.62,15.7,74.89,11.1,53.8,8.9,17.7,976.2
"Gordon, GA",39.43,26.23,19.2,66.33,11.73,37.5,4.7,12.4,1332.5
"Grady, GA",42.95,24.57,17.49,66.8,13.14,36.6,5.8,12.2,1056.9
"Greene, GA",42.26,23.55,16.23,65.85,11.79,45.9,6.9,14.3,1030.3
"Gwinnett, GA",34.05,16.35,10.45,75.96,10.85,54.5,5.8,14.0,818.3
"Habersham, GA",38.58,22.6,16.93,70.17,10.56,38.9,4.8,11.4,975.0
"Hall, GA",37.14,20.29,14.79,69.31,11.21,45.3,5.4,13.1,880.3
"Hancock, GA",51.85,27.05,17.91,57.5,17.89,33.0,4.6,11.5,989.0
"Haralson, GA",40.07,27.58,22.05,65.62,11.34,34.0,5.2,12.3,1471.4
"Harris, GA",38.45,19.35,13.24,74.17,10.24,46.7,6.5,14.0,1021.7
"Hart, GA",42.09,23.83,17.11,66.52,11.78,37.7,4.9,11.6,1031.5
"Heard, GA",41.77,28.74,22.64,66.52,11.6,34.4,5.2,12.2,1119.2
"Henry, GA",37.98,20.52,13.64,73.89,11.52,47.0,5.3,13.2,1112.7
"Houston, GA",41.33,20.58,14.5,71.26,12.27,48.2,6.9,15.3,1278.4
"Irwin, GA",43.69,28.19,20.64,59.23,13.13,33.8,5.3,11.9,1336.9
"Jackson, GA",39.67,22.36,16.3,68.54,10.15,44.1,5.2,12.7,1127.3
"Jasper, GA",42.04,24.0,17.5,66.54,11.6,41.6,6.2,14.0,1106.7
"Jeff Davis, GA",41.99,25.07,18.41,63.97,12.76,28.8,3.9,10.3,1422.1
"Jefferson, GA",47.92,25.84,18.26,61.06,15.08,35.0,5.2,12.3,1412.2
"Jenkins, GA",45.71,26.24,18.63,59.45,15.1,31.5,4.4,11.7,1142.9
"Johnson, GA",46.44,27.16,19.89,55.34,14.01,31.5,5.0,11.7,1196.5
"Jones, GA",40.97,22.47,16.5,69.04,11.36,42.2,5.3,12.4,991.8
"Lamar, GA",42.91,26.02,18.63,65.27,11.85,37.6,5.3,12.3,1145.1
"Lanier, GA",43.45,26.35,19.21,68.17,13.4,38.4,6.3,13.5,1074.3
"Laurens, GA",43.3,24.93,18.12,65.25,13.08,36.8,5.6,12.6,1237.3
"Lee, GA",38.4,24.15,17.78,74.21,10.77,46.4,6.5,14.3,1205.3
"Liberty, GA",43.99,21.85,14.83,67.07,13.88,45.4,6.2,15.0,1001.8
"Lincoln, GA",45.08,25.53,18.49,67.24,12.74,37.6,5.2,11.7,932.9
"Long, GA",43.71,24.85,17.92,64.59,13.1,35.4,5.1,12.3,1004.3
"Lowndes, GA",42.4,23.29,16.27,69.07,13.56,45.9,7.3,14.8,1165.3
"Lumpkin, GA",38.13,21.74,15.99,72.6,9.8,47.0,6.2,13.9,973.9
"McDuffie, GA",43.05,25.92,18.83,63.74,13.68,38.7,5.3,12.9,1151.5
"McIntosh, GA",44.79,25.89,18.25,64.67,13.26,43.5,7.2,16.5,741.0
"Macon, GA",48.13,27.57,18.89,58.57,16.79,37.4,5.8,13.3,1320.5
"Madison, GA",39.96,26.14,19.43,66.62,10.75,37.6,5.3,12.0,1101.0
"Marion, GA",45.01,28.8,21.08,67.58,13.53,36.5,6.0,13.0,1337.6
"Meriwether, GA",44.21,28.3,20.75,62.83,13.33,39.0,5.7,13.3,1451.1
"Miller, GA",41.99,24.98,18.25,64.51,12.81,39.0,7.4,13.3,1289.8
"Mitchell, GA",46.54,27.03,19.35,62.12,14.98,34.4,5.5,11.9,1127.4
"Monroe, GA",40.68,23.68,17.03,70.93,11.0,43.4,5.8,13.0,1106.9
"Montgomery, GA",43.02,23.68,16.64,68.54,13.65,32.6,5.2,11.5,1382.7
"Morgan, GA",40.02,21.49,15.31,69.99,10.84,46.5,7.1,14.5,1121.7
"Murray, GA",40.67,29.16,22.11,64.82,12.03,32.7,4.7,12.0,1210.0
"Muscogee, GA",41.91,23.14,16.14,69.81,13.5,48.9,7.9,15.6,1372.9
"Newton, GA",41.13,22.81,15.84,68.99,12.58,44.5,5.6,13.6,1128.8
"Oconee, GA",34.12,15.9,10.55,76.78,7.7,54.1,6.5,13.9,1090.8
"Oglethorpe, GA",40.28,23.5,16.68,67.59,11.21,39.9,5.3,12.2,1098.5
"Paulding, GA",38.17,22.24,16.96,72.66,12.04,46.8,5.8,14.3,1203.4
"Peach, GA",43.44,22.64,15.42,64.75,13.84,42.2,5.7,13.2,1354.1
"Pickens, GA",38.01,23.24,17.32,73.34,9.43,49.9,7.0,15.1,1130.1
"Pierce, GA",40.07,27.05,20.62,62.4,11.62,32.0,5.4,12.1,1252.3
"Pike, GA",39.41,24.43,17.93,71.38,10.3,38.7,5.4,12.6,1015.9
"Polk, GA",43.11,26.98,20.64,64.45,12.6,34.5,4.8,11.8,1581.2
"Pulaski, GA",42.57,27.83,20.91,63.14,13.22,37.4,6.5,13.7,1255.2
"Putnam, GA",41.39,22.22,15.71,69.28,11.56,45.1,5.6,13.4,1015.8
"Quitman, GA",48.01,28.34,20.33,57.83,14.95,34.1,4.9,11.4,1153.6
"Rabun, GA",38.58,22.33,15.74,71.99,10.12,47.3,6.8,13.7,965.2
"Randolph, GA",48.88,25.39,17.4,63.73,16.16,33.9,4.8,11.1,963.0
"Richmond, GA",44.73,23.74,16.42,67.05,13.22,47.5,6.5,14.5,1257.1
"Rockdale, GA",37.37,20.26,12.91,72.72,12.24,47.3,5.6,13.8,961.6
"Schley, GA",43.12,25.99,19.05,65.2,12.49,40.1,7.0,14.6,1052.3
"Screven, GA",45.21,26.52,19.16,66.58,13.62,39.6,6.0,13.8,1123.4
"Seminole, GA",44.46,25.12,18.13,62.66,12.25,41.2,8.1,15.3,1392.7
"Spalding, GA",42.97,26.37,18.89,63.17,13.13,41.6,5.9,13.4,1072.7
"Stephens, GA",40.52,24.98,18.76,69.96,11.04,37.0,5.0,11.3,1285.8
"Stewart, GA",48.13,27.62,18.29,58.64,18.16,33.1,4.8,11.7,1094.2
"Sumter, GA",45.23,24.3,16.66,66.85,14.78,37.5,5.6,12.3,1217.9
"Talbot, GA",48.74,25.56,17.38,63.44,15.34,35.9,5.4,11.6,1221.5
"Taliaferro, GA",51.36,26.37,17.88,56.58,16.77,30.1,4.1,10.0,1083.6
"Tattnall, GA",43.98,26.9,19.45,61.95,13.44,35.0,5.5,12.8,1364.8
"Taylor, GA",46.03,26.72,19.08,55.89,14.39,30.9,4.6,10.7,1282.0
"Telfair, GA",47.88,25.59,17.8,59.43,15.83,32.1,5.5,12.9,800.6
"Terrell, GA",48.89,27.78,19.69,59.71,15.76,35.0,5.5,11.8,1016.6
"Thomas, GA",44.0,24.53,17.24,68.44,12.74,42.1,6.8,13.5,1015.1
"Tift, GA",42.84,25.34,17.47,65.8,13.6,36.6,5.3,11.9,1394.5
"Toombs, GA",42.51,23.67,16.97,65.71,12.98,33.7,5.0,11.6,1323.0
"Towns, GA",37.33,22.54,16.73,73.94,9.81,44.3,6.2,12.8,955.3
"Treutlen, GA",46.22,28.14,21.02,59.29,13.96,32.3,4.5,11.2,1274.4
"Troup, GA",41.86,24.66,17.95,69.82,12.72,43.9,6.2,14.4,1409.2
"Turner, GA",44.81,27.68,20.01,57.99,14.78,29.8,4.6,10.6,1583.3
"Twiggs, GA",46.79,26.37,19.03,54.13,14.53,29.4,4.5,10.7,1370.6
"Union, GA",38.39,21.7,15.8,73.9,9.74,42.0,5.1,11.0,980.0
"Upson, GA",41.78,28.06,21.02,65.66,12.45,34.8,4.7,11.6,1502.2
"Walker, GA",40.76,26.96,20.41,66.42,12.61,34.0,4.7,11.8,1516.9
"Walton, GA",39.75,23.09,16.89,68.94,10.9,43.3,5.6,12.9,1188.3
"Ware, GA",43.64,26.49,19.31,62.03,13.08,36.5,5.9,12.7,1374.3
"Warren, GA",48.77,27.45,18.97,57.78,15.99,29.5,4.2,10.6,1120.1
"Washington, GA",46.88,25.93,18.45,64.74,14.58,37.8,5.4,12.8,1180.9
"Wayne, GA",41.92,27.06,20.04,66.13,12.23,33.8,5.4,12.4,1141.9
"Webster, GA",45.22,24.43,17.17,63.57,14.43,33.5,5.0,11.2,932.0
"Wheeler, GA",47.5,27.93,20.06,61.18,15.92,28.8,5.0,10.9,1096.5
"White, GA",38.12,21.51,16.22,71.85,9.98,47.8,6.9,14.2,903.8
"Whitfield, GA",39.59,25.08,17.96,65.84,12.96,36.2,4.8,13.2,1175.9
"Wilcox, GA",47.48,27.77,20.09,59.43,14.68,26.9,4.4,9.8,1063.3
"Wilkes, GA",44.87,27.02,19.23,62.57,13.83,39.6,5.6,13.2,1149.5
"Wilkinson, GA",43.29,25.29,18.16,65.21,13.71,34.1,4.8,11.4,1416.0
"Worth, GA",45.21,27.57,20.22,66.54,13.24,35.7,5.7,12.3,952.9
"Hawaii, HI",33.41,19.85,13.98,80.5,6.8,55.3,11.5,20.6,834.0
"Honolulu, HI",32.58,16.1,11.23,80.28,7.57,49.9,8.8,19.3,718.0
"Kauai, HI",34.31,19.09,13.38,82.45,7.06,53.7,11.1,19.7,748.3
"Ada, ID",33.25,16.62,12.43,81.64,8.41,61.5,7.8,16.8,1004.3
"Adams, ID",37.39,22.65,16.79,77.24,8.55,65.1,11.7,20.4,755.3
