county_state,alc_any_2008,alc_heavy_2008,alc_binge_2008
"Hancock, IL",49.4,11.8,22.1
"Hardin, IL",43.0,7.3,17.7
"Henderson, IL",53.4,10.6,22.6
"Henry, IL",58.9,8.7,20.4
"Iroquois, IL",53.3,7.5,18.6
"Jackson, IL",52.3,8.1,18.5
"Jasper, IL",55.8,9.5,21.7
"Jefferson, IL",44.6,6.2,15.6
"Jersey, IL",60.4,10.8,24.9
"Jo Daviess, IL",71.0,13.6,29.1
"Johnson, IL",41.5,6.8,15.3
"Kane, IL",66.9,8.1,20.7
"Kankakee, IL",57.9,8.6,20.4
"Kendall, IL",66.1,8.8,20.3
"Knox, IL",55.2,9.4,20.8
"Lake, IL",68.1,9.5,20.1
"LaSalle, IL",62.7,11.2,24.7
"Lawrence, IL",43.6,5.4,15.4
"Lee, IL",61.2,10.6,23.5
"Livingston, IL",54.3,8.7,20.8
"Logan, IL",53.5,8.5,19.5
"Macon, IL",55.3,8.2,19.4
"Macoupin, IL",54.6,9.9,22.0
"Madison, IL",58.6,9.6,21.7
"Marion, IL",47.3,6.9,17.3
"Marshall, IL",57.8,10.3,23.0
"Mason, IL",51.5,9.3,20.8
"Massac, IL",44.3,6.4,16.1
