county_state,cig_total_2012,cig_daily_2012,alc_any_2012,alc_heavy_2012,alc_binge_2012,hd_deaths_per100k_over65
"Bibb, GA",22.81,16.09,45.4,6.6,14.7,1432.2
"Bleckley, GA",25.14,18.66,35.8,5.2,12.6,1271.7
"Brantley, GA",30.17,23.34,34.5,6.0,12.7,1124.6
"Brooks, GA",26.07,18.63,39.9,6.3,13.4,1102.4
"Bryan, GA",20.05,13.86,54.5,8.8,18.1,1169.6
"Bulloch, GA",20.67,14.32,44.7,7.0,14.5,1055.7
"Burke, GA",26.73,19.35,34.7,5.1,12.4,1172.7
"Butts, GA",27.66,20.0,37.7,5.1,12.4,1110.0
"Calhoun, GA",25.77,17.24,31.3,5.3,11.1,1055.2
"Camden, GA",23.07,16.94,51.4,7.5,15.4,1095.8
"Candler, GA",24.24,17.33,41.4,7.2,15.9,1327.8
"Carroll, GA",24.49,18.53,43.0,6.3,13.8,1290.7
"Catoosa, GA",25.06,19.21,43.0,6.2,15.3,1168.4
"Charlton, GA",29.75,21.96,37.6,6.2,13.4,943.3
"Chatham, GA",21.72,14.32,56.5,9.7,18.4,1029.8
"Chattahoochee, GA",19.16,12.91,44.2,5.4,14.3,1132.1
"Chattooga, GA",29.77,22.34,32.1,4.8,12.5,1536.2
"Cherokee, GA",18.89,13.27,56.5,7.0,15.7,978.9
"Clarke, GA",17.59,11.01,53.9,9.5,17.3,1077.8
"Clay, GA",26.96,18.56,33.0,5.7,11.6,1308.1
"Clayton, GA",22.19,14.6,41.5,4.8,12.0,1109.9
"Clinch, GA",26.46,19.5,37.7,5.8,13.0,1583.2
"Cobb, GA",16.45,11.0,60.5,7.0,16.0,918.5
"Coffee, GA",26.84,19.13,33.0,5.1,11.9,1219.1
"Colquitt, GA",25.84,18.09,36.3,5.9,13.2,944.8
"Columbia, GA",17.63,12.49,58.5,7.7,17.5,779.8
"Cook, GA",27.67,19.77,36.4,5.7,12.6,1288.7
"Coweta, GA",21.51,15.71,49.5,6.2,14.6,1158.7
"Crawford, GA",25.13,18.4,43.2,6.6,15.2,1361.2
"Crisp, GA",27.35,19.61,39.8,6.6,14.7,1154.2
"Dade, GA",24.46,18.57,42.4,6.3,15.1,1390.9
"Dawson, GA",22.49,16.79,47.5,6.9,14.9,975.0
"Decatur, GA",24.86,17.66,38.8,6.4,13.1,1534.8
"DeKalb, GA",17.57,10.36,58.2,7.1,16.7,769.5
"Dodge, GA",24.59,17.89,31.2,5.0,11.0,1131.5
"Dooly, GA",27.74,19.67,34.1,5.7,12.7,1018.3
"Dougherty, GA",24.16,16.31,44.6,7.2,14.5,904.5
"Douglas, GA",22.15,15.69,47.4,6.1,13.6,1193.3
"Early, GA",26.0,18.31,37.2,6.8,13.0,1407.8
"Echols, GA",25.25,18.41,37.5,6.0,12.7,908.1
"Effingham, GA",23.37,17.24,46.1,7.1,15.5,1322.6
